vehicle_id,occupant_count,mean_anomaly_score_bits,median_anomaly_score_bits,maximum_anomaly_score_bits,std_anomaly_score_bits,minimum_anomaly_score_bits,baseline_occupants,moderate_occupants,elevated_occupants,high_occupants,extreme_occupants,anomalous_occupants,high_or_extreme_occupants,extreme_occupant_count,anomalous_occupant_fraction,high_or_extreme_fraction,maximum_anomaly_occupant_id,maximum_anomaly_dominant_contributor,maximum_anomaly_tier,vehicle_dominant_contributor,vehicle_anomaly_tier,vehicle_anomaly_score_bits,multi_occupant_anomaly,multiple_high_or_extreme,vehicle_anomaly_percentile
852131760.0,2,12.185378276506665,12.185378276506665,16.682351944396657,6.359681150764711,7.688404608616671,1,0,0,1,0,1,1,0,0.5,0.5,852131762.0,belt_failure,HIGH,seat_performance,HIGH,16.682351944396657,False,False,96.29822732012514
558035224.0,5,11.539118224574558,9.156384058951364,16.669844462257146,3.576269522397645,8.80092455784991,3,1,0,1,0,2,1,0,0.4,0.2,558035257.0,seat_position,HIGH,seat_position,HIGH,16.669844462257146,True,False,96.24608967674662
556148949.0,4,12.80969497266501,12.83736360165926,16.666412982039102,3.9491148258075075,8.897639705302428,2,0,0,2,0,2,2,0,0.5,0.5,556148950.0,seat_performance,HIGH,seat_position,HIGH,16.666412982039102,True,True,96.19395203336809
792831224.0,2,11.763669404967258,11.763669404967258,16.649337332836303,6.909377844843661,6.878001477098212,1,0,0,1,0,1,1,0,0.5,0.5,792831227.0,belt_use,HIGH,belt_use,HIGH,16.649337332836303,False,False,96.14181438998958
349232275.0,5,12.857986576864135,13.488648373323514,16.645600330677325,4.140706104940221,6.084487937853726,1,2,0,2,0,4,2,0,0.8,0.4,349232280.0,seat_position,HIGH,seat_performance,HIGH,16.645600330677325,True,True,96.08967674661105
325114354.0,3,14.187458135217392,15.533442121884292,16.61209059259511,3.309687584488369,10.416841691172774,1,0,0,2,0,2,2,0,0.6666666666666666,0.6666666666666666,325114356.0,seat_track_position,HIGH,seat_track_position,HIGH,16.61209059259511,True,True,96.03753910323253
795682070.0,1,16.57330357764762,16.57330357764762,16.57330357764762,0.0,16.57330357764762,0,0,0,1,0,1,1,0,1.0,1.0,795762229.0,posture,HIGH,posture,HIGH,16.57330357764762,False,False,95.98540145985402
344057642.0,5,13.686731465400385,13.135074391294085,16.547927401143603,2.079228327460906,11.15200700075301,1,2,1,1,0,4,1,0,0.8,0.2,344057646.0,seat_performance,HIGH,seat_performance,HIGH,16.547927401143603,True,False,95.9332638164755
556171294.0,1,16.519168453200397,16.519168453200397,16.519168453200397,0.0,16.519168453200397,0,0,0,1,0,1,1,0,1.0,1.0,556171296.0,belt_anchorage,HIGH,belt_anchorage,HIGH,16.519168453200397,False,False,95.88112617309697
795550984.0,1,16.50991548474418,16.50991548474418,16.50991548474418,0.0,16.50991548474418,0,0,0,1,0,1,1,0,1.0,1.0,795601744.0,posture,HIGH,posture,HIGH,16.50991548474418,False,False,95.82898852971846
599036036.0,3,14.240355883516605,13.993968352479826,16.507773716867938,2.154814833033654,12.219325581202051,0,2,0,1,0,3,1,0,1.0,0.3333333333333333,599036039.0,belt_use,HIGH,belt_use,HIGH,16.507773716867938,True,False,95.77685088633994
897022174.0,2,14.734412671699179,14.734412671699179,16.491999756981325,2.485603493057811,12.97682558641703,0,1,0,1,0,2,1,0,1.0,0.5,897022177.0,seat_type,HIGH,seat_type,HIGH,16.491999756981325,True,False,95.72471324296143
134005320.0,6,13.03228384613311,12.538362965701822,16.491698954009866,1.897968327511649,11.401710871652222,2,3,0,1,0,4,1,0,0.6666666666666666,0.16666666666666666,134007688.0,seat_type,HIGH,seat_type,HIGH,16.491698954009866,True,False,95.6725755995829
556127147.0,2,13.685942663826687,13.685942663826687,16.471075973785894,3.9387732999613796,10.90080935386748,1,0,0,1,0,1,1,0,0.5,0.5,556127149.0,posture,HIGH,posture,HIGH,16.471075973785894,False,False,95.62043795620438
651108596.0,2,13.102216279780809,13.102216279780809,16.418747773054427,4.690283817825044,9.785684786507192,1,0,0,1,0,1,1,0,0.5,0.5,651108597.0,belt_failure,HIGH,belt_failure,HIGH,16.418747773054427,False,False,95.56830031282585
897025096.0,2,16.158411124976652,16.158411124976652,16.40978499369314,0.3554963343650489,15.907037256260168,0,0,0,2,0,2,2,0,1.0,1.0,897025097.0,seat_type,HIGH,seat_type,HIGH,16.40978499369314,True,True,95.51616266944734
599010385.0,2,11.16854980257741,11.16854980257741,16.40612469326407,7.407049444353855,5.9309749118907495,1,0,0,1,0,1,1,0,0.5,0.5,599010388.0,seat_position,HIGH,seat_track_position,HIGH,16.40612469326407,False,False,95.46402502606882
359561426.0,1,16.391863085695874,16.391863085695874,16.391863085695874,0.0,16.391863085695874,0,0,0,1,0,1,1,0,1.0,1.0,359561428.0,seat_type,HIGH,seat_type,HIGH,16.391863085695874,False,False,95.4118873826903
556139494.0,2,13.390924361305355,13.390924361305355,16.381901740831687,4.2298807748772775,10.399946981779024,1,0,0,1,0,1,1,0,0.5,0.5,556139498.0,seat_performance,HIGH,seat_type,HIGH,16.381901740831687,False,False,95.35974973931178
556138791.0,2,12.37716194346335,12.37716194346335,16.346920257740297,5.6140860473938154,8.407403629186401,1,0,0,1,0,1,1,0,0.5,0.5,556138793.0,belt_anchorage,HIGH,belt_anchorage,HIGH,16.346920257740297,False,False,95.30761209593325
599006270.0,3,14.504990629276506,14.384783750093352,16.332316330199216,1.7702857936775442,12.797871807536954,0,1,1,1,0,3,1,0,1.0,0.3333333333333333,599006272.0,seat_type,HIGH,seat_type,HIGH,16.332316330199216,True,False,95.25547445255475
558037390.0,2,12.589682710250324,12.589682710250324,16.293567055209987,5.238083474103343,8.885798365290661,1,0,0,1,0,1,1,0,0.5,0.5,558037392.0,posture,HIGH,belt_anchorage,HIGH,16.293567055209987,False,False,95.20333680917622
142598286.0,1,16.288227443441468,16.288227443441468,16.288227443441468,0.0,16.288227443441468,0,0,0,1,0,1,1,0,1.0,1.0,142598287.0,seat_performance,HIGH,seat_performance,HIGH,16.288227443441468,False,False,95.1511991657977
